layer_idx,layer_name,psnr_when_only_this_layer_q8,psnr_drop_db,ssim_when_only_this_layer_q8,ssim_drop
35,tail,27.409451751708986,0.029140930175781676,0.7886546221375466,0.0020219963788985496
34,upsampler.0,27.418112182617186,0.02048049926758111,0.7894292381405831,0.0012473803758620283
0,head,27.422569885253907,0.01602279663086037,0.7907038751244545,-2.725660800939611e-05
33,body.16,27.431764984130858,0.006827697753909234,0.7901497998833656,0.0005268186330794622
2,body.0.conv2,27.437576599121094,0.001016082763673154,0.7906218984723091,5.472004413598075e-05
32,body.15.conv2,27.4376180267334,0.0009746551513671875,0.7906136819720269,6.293654441824614e-05
4,body.1.conv2,27.437798767089845,0.0007939147949223013,0.7906530696153641,2.3548901081027473e-05
28,body.13.conv2,27.437907257080077,0.0006854248046899158,0.7906248632073403,5.17553091048395e-05
30,body.14.conv2,27.43792556762695,0.0006671142578156264,0.7906291472911835,4.7471225261608296e-05
12,body.5.conv2,27.437926483154296,0.0006661987304710237,0.7906421294808388,3.4489035606322105e-05
26,body.12.conv2,27.438014068603515,0.0005786132812524158,0.7906463718414307,3.0246675014389268e-05
14,body.6.conv2,27.438086166381837,0.0005065155029306823,0.7906386014819146,3.801703453054639e-05
22,body.10.conv2,27.438109283447265,0.00048339843750255795,0.7906598806381225,1.6737878322570232e-05
31,body.15.conv1,27.43818359375,0.00040908813476647765,0.7906573504209519,1.9268095493241155e-05
7,body.3.conv1,27.43821792602539,0.00037475585937585265,0.7906171050667763,5.951344966881322e-05
24,body.11.conv2,27.43824264526367,0.00035003662109645006,0.7906517374515534,2.488106489173525e-05
18,body.8.conv2,27.43825355529785,0.0003391265869154836,0.7906661432981491,1.0475218296002176e-05
16,body.7.conv2,27.438262939453125,0.0003297424316421882,0.7906587302684784,1.7888247966668658e-05
20,body.9.conv2,27.438323669433593,0.0002690124511737224,0.7906726902723312,3.928244113882151e-06
29,body.14.conv1,27.43834259033203,0.0002500915527363645,0.7906693375110626,7.281005382497874e-06
27,body.13.conv1,27.43838409423828,0.00020858764648679085,0.7906567770242691,1.9841492176042586e-05
17,body.8.conv1,27.4383869934082,0.0002056884765657685,0.7906534805893898,2.31379270553278e-05
23,body.11.conv1,27.438403930664062,0.0001887512207048303,0.7906663516163825,1.0266900062561035e-05
13,body.6.conv1,27.438406829833983,0.00018585205078380795,0.7906839752197266,-7.356703281446997e-06
25,body.12.conv1,27.438419189453125,0.0001734924316423303,0.7906647929549218,1.1825561523348682e-05
19,body.9.conv1,27.438441696166993,0.00015098571777372172,0.7906678915023804,8.727014064735528e-06
21,body.10.conv1,27.438443222045898,0.00014945983886960335,0.7906655776500702,1.1040866374933955e-05
15,body.7.conv1,27.43846305847168,0.0001296234130876428,0.7906571593880654,1.9459128379750723e-05
9,body.4.conv1,27.438470153808595,0.00012252807617230133,0.7906583178043366,1.830071210850992e-05
11,body.5.conv1,27.43847801208496,0.00011466979980667702,0.7906688648462296,7.753670215548958e-06
10,body.4.conv2,27.438480300903322,0.00011238098144517039,0.7906673097610474,9.308755397730017e-06
1,body.0.conv1,27.438489990234373,0.0001026916503938935,0.7906732949614524,3.3235549926624586e-06
6,body.2.conv2,27.438514251708984,7.843017578323952e-05,0.7906699496507644,6.668865680681257e-06
5,body.2.conv1,27.43865707397461,-6.439208984332367e-05,0.7906689101457596,7.708370685532984e-06
3,body.1.conv1,27.43872100830078,-0.00012832641601434602,0.7906769105792045,-2.920627594216185e-07
8,body.3.conv2,27.438806457519533,-0.0002137756347657671,0.7906811183691025,-4.499852657380288e-06
