idx,name,fp32_lpips,int8_lpips,lpips_rise,int8_vs_fp32_lpips
0,0801.png,0.25291702151298523,0.23839618265628815,-0.014520838856697083,0.006740798242390156
1,0802.png,0.09902568906545639,0.08988981693983078,-0.00913587212562561,0.0024388388264924288
2,0803.png,0.061264969408512115,0.056633856147527695,-0.004631113260984421,0.003153768368065357
3,0804.png,0.19283989071846008,0.18457567691802979,-0.008264213800430298,0.0028900124598294497
4,0805.png,0.268294095993042,0.24990132451057434,-0.01839277148246765,0.006617200560867786
5,0806.png,0.08577223122119904,0.08261138200759888,-0.0031608492136001587,0.0046361228451132774
6,0807.png,0.22560982406139374,0.21708960831165314,-0.0085202157497406,0.0027350273448973894
7,0808.png,0.2608768343925476,0.25401055812835693,-0.006866276264190674,0.0015561757609248161
8,0809.png,0.15344172716140747,0.13403981924057007,-0.019401907920837402,0.005453965160995722
9,0810.png,0.11695632338523865,0.11463744938373566,-0.0023188740015029907,0.0009782977867871523
10,0811.png,0.216607466340065,0.19261883199214935,-0.02398863434791565,0.015347080305218697
11,0812.png,0.3115982115268707,0.2512538731098175,-0.06034433841705322,0.028499992564320564
12,0813.png,0.22562271356582642,0.2145320177078247,-0.011090695858001709,0.0019965171813964844
13,0814.png,0.0861382931470871,0.08387524634599686,-0.0022630468010902405,0.003796227974817157
14,0815.png,0.3110200762748718,0.2956765294075012,-0.015343546867370605,0.004115726333111525
15,0816.png,0.2445518672466278,0.22222043573856354,-0.02233143150806427,0.010842327028512955
16,0817.png,0.17773333191871643,0.16907086968421936,-0.00866246223449707,0.0024447960313409567
17,0818.png,0.1603282243013382,0.15925008058547974,-0.0010781437158584595,0.0012871980434283614
18,0819.png,0.10087873786687851,0.09258926659822464,-0.00828947126865387,0.003511197865009308
19,0820.png,0.13636112213134766,0.11759402602910995,-0.0187670961022377,0.009646345861256123
20,0821.png,0.10890597105026245,0.07112313061952591,-0.03778284043073654,0.020689740777015686
21,0822.png,0.2609143853187561,0.2456953078508377,-0.015219077467918396,0.007383198942989111
22,0823.png,0.21466639637947083,0.21455460786819458,-0.00011178851127624512,0.0021114477422088385
23,0824.png,0.24625617265701294,0.2408374547958374,-0.005418717861175537,0.0031781899742782116
24,0825.png,0.22312867641448975,0.21246351301670074,-0.010665163397789001,0.005016926676034927
