idx,name,fp32_lpips,int8_lpips,lpips_rise,int8_vs_fp32_lpips
0,0801.png,0.25291702151298523,0.22719110548496246,-0.025725916028022766,0.021695222705602646
1,0802.png,0.09902568906545639,0.0782967284321785,-0.020728960633277893,0.010698207654058933
2,0803.png,0.061264969408512115,0.054848384112119675,-0.006416585296392441,0.013166637159883976
3,0804.png,0.19283989071846008,0.17138883471488953,-0.021451056003570557,0.0099223917350173
4,0805.png,0.268294095993042,0.2293955385684967,-0.03889855742454529,0.020402226597070694
5,0806.png,0.08577223122119904,0.08457079529762268,-0.001201435923576355,0.013048005290329456
6,0807.png,0.22560982406139374,0.21265342831611633,-0.012956395745277405,0.0075910575687885284
7,0808.png,0.2608768343925476,0.245381698012352,-0.015495136380195618,0.005987657234072685
8,0809.png,0.15344172716140747,0.11745020002126694,-0.03599152714014053,0.020771697163581848
9,0810.png,0.11695632338523865,0.11230194568634033,-0.004654377698898315,0.002796232234686613
10,0811.png,0.216607466340065,0.178217813372612,-0.038389652967453,0.036227863281965256
11,0812.png,0.3115982115268707,0.2226947695016861,-0.08890344202518463,0.09437346458435059
12,0813.png,0.22562271356582642,0.20274832844734192,-0.022874385118484497,0.007511691655963659
13,0814.png,0.0861382931470871,0.08650223165750504,0.00036393851041793823,0.012638358399271965
14,0815.png,0.3110200762748718,0.2691734731197357,-0.04184660315513611,0.017529862001538277
15,0816.png,0.2445518672466278,0.20286008715629578,-0.04169178009033203,0.039995383471250534
16,0817.png,0.17773333191871643,0.1564418226480484,-0.02129150927066803,0.009134437888860703
17,0818.png,0.1603282243013382,0.16107705235481262,0.0007488280534744263,0.004732917062938213
18,0819.png,0.10087873786687851,0.08688093721866608,-0.013997800648212433,0.014081372879445553
19,0820.png,0.13636112213134766,0.1115570217370987,-0.024804100394248962,0.03408566862344742
20,0821.png,0.10890597105026245,0.0653163269162178,-0.04358964413404465,0.06585950404405594
21,0822.png,0.2609143853187561,0.2321954071521759,-0.0287189781665802,0.02462310530245304
22,0823.png,0.21466639637947083,0.21477940678596497,0.00011301040649414062,0.0073456005193293095
23,0824.png,0.24625617265701294,0.23683297634124756,-0.00942319631576538,0.009615553542971611
24,0825.png,0.22312867641448975,0.20942573249340057,-0.013702943921089172,0.020394690334796906
25,0826.png,0.1885194182395935,0.18840153515338898,-0.00011788308620452881,0.005294864997267723
26,0827.png,0.11326323449611664,0.07201439887285233,-0.04124883562326431,0.02515251375734806
27,0828.png,0.18315421044826508,0.18630892038345337,0.0031547099351882935,0.001402131631039083
28,0829.png,0.3691922128200531,0.3426090478897095,-0.026583164930343628,0.007422955706715584
29,0830.png,0.3332981765270233,0.3108413517475128,-0.022456824779510498,0.010478821583092213
30,0831.png,0.06254199147224426,0.04936443641781807,-0.013177555054426193,0.025726642459630966
31,0832.png,0.24035941064357758,0.23446674644947052,-0.005892664194107056,0.016555916517972946
32,0833.png,0.14401277899742126,0.09349910914897919,-0.05051366984844208,0.04783295840024948
33,0834.png,0.3494001030921936,0.3108249604701996,-0.03857514262199402,0.04221726581454277
34,0835.png,0.34623202681541443,0.3085624873638153,-0.03766953945159912,0.02312926948070526
35,0836.png,0.35904332995414734,0.3056429922580719,-0.05340033769607544,0.025058772414922714
36,0837.png,0.2686077356338501,0.25461363792419434,-0.013994097709655762,0.02445208467543125
37,0838.png,0.2860462963581085,0.1690720021724701,-0.11697429418563843,0.04989347606897354
38,0839.png,0.3873506486415863,0.29653221368789673,-0.09081843495368958,0.03545520454645157
39,0840.png,0.17942123115062714,0.16211633384227753,-0.01730489730834961,0.030034484341740608
40,0841.png,0.21933043003082275,0.20569683611392975,-0.013633593916893005,0.01356695406138897
41,0842.png,0.20876003801822662,0.15937471389770508,-0.049385324120521545,0.06269584596157074
42,0843.png,0.15041027963161469,0.11243224143981934,-0.03797803819179535,0.02439781278371811
