scheme,method,percentile,psnr_db,psnr_drop_db,ssim,ssim_drop
max-abs,max-abs,,27.363632583618163,0.07496009826660455,0.7865832144021988,0.004093404114246302
percentile-99.99,percentile,0.9999,27.363392791748048,0.07519989013671946,0.7886617201566696,0.00201489835977553
percentile-99.9,percentile,0.9990,26.985505676269533,0.4530870056152345,0.78402738571167,0.00664923280477514
percentile-99.0,percentile,0.9900,25.272179107666016,2.166413574218751,0.7539052072167397,0.0367714112997054
