name,mean_angular_delta_deg_gt_vs_int8,edge_fraction
0862.png,29.52757453918457,0.3000001907348633
0834.png,22.4775333404541,0.3000001907348633
0852.png,21.395370483398438,0.3000001907348633
0895.png,20.36673927307129,0.3000001907348633
0865.png,20.12740135192871,0.3000001907348633
0894.png,19.779552459716797,0.3000001907348633
0863.png,17.611040115356445,0.3000001907348633
0896.png,17.230031967163086,0.3000001907348633
0848.png,16.44218635559082,0.3000001907348633
0826.png,16.114543914794922,0.3000001907348633
0807.png,15.960673332214355,0.3000001907348633
0845.png,15.76154613494873,0.3000001907348633
0823.png,15.690157890319824,0.3000001907348633
0868.png,15.541496276855469,0.3000001907348633
0890.png,15.350666999816895,0.3000001907348633
0835.png,15.086991310119629,0.3000001907348633
0832.png,14.999458312988281,0.3000001907348633
0824.png,14.64829158782959,0.3000001907348633
0817.png,14.61220932006836,0.3000001907348633
0805.png,14.078104019165039,0.3000001907348633
0801.png,14.072965621948242,0.3000001907348633
0855.png,13.905936241149902,0.3000001907348633
0816.png,13.84130859375,0.3000001907348633
0884.png,13.75292682647705,0.3000001907348633
0858.png,13.50080394744873,0.3000001907348633
0836.png,13.418663024902344,0.3000001907348633
0898.png,13.280896186828613,0.3000001907348633
0856.png,13.258197784423828,0.3000001907348633
0853.png,13.210954666137695,0.3000001907348633
0869.png,13.200374603271484,0.3000001907348633
0808.png,13.183127403259277,0.3000001907348633
0872.png,13.153441429138184,0.3000001907348633
0814.png,13.152170181274414,0.3000001907348633
0854.png,13.031935691833496,0.3000001907348633
0813.png,12.56479549407959,0.3000001907348633
0873.png,12.432682991027832,0.3000001907348633
0880.png,12.418950080871582,0.3000001907348633
0841.png,12.200392723083496,0.3000001907348633
0829.png,12.153932571411133,0.3000001907348633
0882.png,11.859959602355957,0.3000001907348633
0842.png,11.843193054199219,0.3000001907348633
0843.png,11.642049789428711,0.3000001907348633
0850.png,11.374175071716309,0.3000001907348633
0886.png,11.257221221923828,0.3000001907348633
0859.png,11.168396949768066,0.3000001907348633
0893.png,11.129919052124023,0.3000001907348633
0822.png,11.123414993286133,0.3000001907348633
0838.png,11.061677932739258,0.3000001907348633
0839.png,11.038182258605957,0.3000001907348633
0810.png,10.898714065551758,0.3000001907348633
0811.png,10.8673677444458,0.3000001907348633
0840.png,10.829913139343262,0.3000001907348633
0879.png,10.682181358337402,0.3000001907348633
0864.png,10.489840507507324,0.3000001907348633
0851.png,10.479987144470215,0.3000001907348633
0844.png,10.245800018310547,0.3000001907348633
0891.png,10.207817077636719,0.3000001907348633
0837.png,10.108728408813477,0.3000001907348633
0897.png,10.10551643371582,0.3000001907348633
0876.png,10.092320442199707,0.3000001907348633
0881.png,9.890753746032715,0.3000001907348633
0809.png,9.726509094238281,0.3000001907348633
0857.png,9.640430450439453,0.3000001907348633
0806.png,9.603435516357422,0.3000001907348633
0877.png,9.542266845703125,0.3000001907348633
0849.png,9.522835731506348,0.3000001907348633
0812.png,9.372081756591797,0.3000001907348633
0833.png,9.320878982543945,0.3000001907348633
0804.png,9.16584587097168,0.3000001907348633
0887.png,9.114852905273438,0.3000001907348633
0827.png,8.968762397766113,0.3000001907348633
0860.png,8.721471786499023,0.3000001907348633
0871.png,8.2769136428833,0.3000001907348633
0802.png,8.239740371704102,0.3000001907348633
0825.png,8.232610702514648,0.3000001907348633
0885.png,8.160908699035645,0.3000001907348633
0874.png,8.053396224975586,0.3000001907348633
0803.png,7.942314624786377,0.3000001907348633
0888.png,7.883294105529785,0.3000001907348633
0889.png,7.842588424682617,0.3000001907348633
0875.png,7.7268805503845215,0.3000001907348633
0878.png,7.669040203094482,0.3000001907348633
0828.png,7.585066318511963,0.3000001907348633
0861.png,7.567844390869141,0.3000001907348633
0900.png,7.270522117614746,0.3000001907348633
0866.png,7.113318920135498,0.3000001907348633
0819.png,7.105248928070068,0.3000001907348633
0883.png,6.7882890701293945,0.3000001907348633
0818.png,6.653985977172852,0.3000001907348633
0870.png,6.624118328094482,0.3000001907348633
0820.png,6.587886810302734,0.3000001907348633
0847.png,5.9157562255859375,0.3000001907348633
0846.png,5.550326347351074,0.3000001907348633
0867.png,5.464033603668213,0.2999992370605469
0899.png,5.3699421882629395,0.3000001907348633
0815.png,5.227664947509766,0.3000001907348633
0892.png,5.1043219566345215,0.3000001907348633
0831.png,4.694116115570068,0.3000001907348633
0821.png,4.471039295196533,0.3000001907348633
