name,mean_angular_delta_deg_gt_vs_int8,edge_fraction
0862.png,25.56130599975586,0.3000001907348633
0834.png,21.629751205444336,0.3000001907348633
0852.png,20.672761917114258,0.3000001907348633
0895.png,20.232921600341797,0.3000001907348633
0865.png,18.480112075805664,0.3000001907348633
0894.png,17.345178604125977,0.3000001907348633
0896.png,15.878857612609863,0.3000001907348633
0807.png,15.42062759399414,0.3000001907348633
0890.png,15.22333812713623,0.3000001907348633
0826.png,15.001595497131348,0.3000001907348633
0823.png,14.97675895690918,0.3000001907348633
0832.png,14.891462326049805,0.3000001907348633
0863.png,14.686511993408203,0.3000001907348633
0817.png,14.488115310668945,0.3000001907348633
0829.png,14.486727714538574,0.3000001907348633
0835.png,14.405610084533691,0.3000001907348633
0868.png,14.399452209472656,0.3000001907348633
0848.png,14.155647277832031,0.3000001907348633
0855.png,13.808757781982422,0.3000001907348633
0845.png,13.764205932617188,0.3000001907348633
0824.png,13.619460105895996,0.3000001907348633
0808.png,13.44192123413086,0.2999992370605469
0805.png,13.325789451599121,0.3000001907348633
0858.png,13.28483772277832,0.2999992370605469
0816.png,13.162518501281738,0.3000001907348633
0814.png,13.081480979919434,0.3000001907348633
0801.png,13.052206039428711,0.3000001907348633
0880.png,12.951179504394531,0.3000001907348633
0856.png,12.938122749328613,0.3000001907348633
0898.png,12.880714416503906,0.3000001907348633
0854.png,12.551069259643555,0.3000001907348633
0884.png,12.266304016113281,0.3000001907348633
0853.png,12.122529983520508,0.3000001907348633
0842.png,12.101922035217285,0.3000001907348633
0873.png,11.796509742736816,0.3000001907348633
0843.png,11.795368194580078,0.3000001907348633
0836.png,11.770817756652832,0.3000001907348633
0813.png,11.564735412597656,0.3000001907348633
0882.png,11.515286445617676,0.3000001907348633
0838.png,11.255325317382812,0.3000001907348633
0841.png,11.196517944335938,0.2999992370605469
0893.png,11.17903995513916,0.3000001907348633
0844.png,11.102020263671875,0.3000001907348633
0859.png,10.975024223327637,0.3000001907348633
0869.png,10.804255485534668,0.3000001907348633
0857.png,10.697555541992188,0.3000001907348633
0864.png,10.691557884216309,0.3000001907348633
0872.png,10.672934532165527,0.3000001907348633
0840.png,10.542192459106445,0.3000001907348633
0811.png,10.42824935913086,0.3000001907348633
0839.png,10.41272258758545,0.3000001907348633
0886.png,10.307955741882324,0.3000001907348633
0827.png,10.185503959655762,0.3000001907348633
0850.png,10.151288032531738,0.3000001907348633
0810.png,9.953246116638184,0.3000001907348633
0879.png,9.861696243286133,0.3000001907348633
0809.png,9.80486011505127,0.3000001907348633
0881.png,9.798911094665527,0.3000001907348633
0897.png,9.749363899230957,0.3000001907348633
0822.png,9.71804141998291,0.3000001907348633
0877.png,9.285045623779297,0.3000001907348633
0851.png,9.141876220703125,0.3000001907348633
0802.png,8.997143745422363,0.3000001907348633
0833.png,8.875521659851074,0.3000001907348633
0891.png,8.791266441345215,0.3000001907348633
0887.png,8.701754570007324,0.3000001907348633
0812.png,8.625866889953613,0.3000001907348633
0806.png,8.525291442871094,0.3000001907348633
0885.png,8.213841438293457,0.3000001907348633
0860.png,7.842000961303711,0.3000001907348633
0876.png,7.704516887664795,0.3000001907348633
0804.png,7.604163646697998,0.3000001907348633
0871.png,7.5692973136901855,0.3000001907348633
0803.png,7.538048267364502,0.3000001907348633
0837.png,7.532774448394775,0.3000001907348633
0878.png,7.2849602699279785,0.3000001907348633
0861.png,7.178187370300293,0.3000001907348633
0888.png,7.017665386199951,0.3000001907348633
0875.png,6.952341556549072,0.3000001907348633
0900.png,6.854788780212402,0.3000001907348633
0874.png,6.516548156738281,0.3000001907348633
0849.png,6.449943542480469,0.3000001907348633
0820.png,6.402578830718994,0.3000001907348633
0889.png,6.263723373413086,0.3000001907348633
0870.png,5.98867654800415,0.3000001907348633
0825.png,5.974384307861328,0.2999992370605469
0818.png,5.768117904663086,0.3000001907348633
0883.png,5.602365970611572,0.3000001907348633
0847.png,5.389840602874756,0.3000001907348633
0828.png,5.386758327484131,0.3000001907348633
0815.png,5.351524353027344,0.3000001907348633
0866.png,5.315033912658691,0.3000001907348633
0867.png,4.818409442901611,0.3000001907348633
0846.png,4.685908317565918,0.3000001907348633
0819.png,4.521393775939941,0.2999992370605469
0821.png,4.148776054382324,0.3000001907348633
0892.png,4.049530029296875,0.3000001907348633
0831.png,3.9683876037597656,0.3000001907348633
0899.png,3.89906644821167,0.3000001907348633
